image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
V4GF1_36;1.44;1.1;0.0;2.17;0.32;0.53;0.0;0.58;1.61;0.45;0.0;0.0;0.0;0.0;1.84;0.75;0.0;10.790
V4GF1_37;1.1;1.04;0.0;2.34;0.35;0.2;0.0;0.79;1.61;0.38;0.0;0.0;0.0;0.0;1.67;0.73;0.0;10.210
V4GF1_38;1.4;1.23;0.0;2.39;0.4;0.35;0.0;0.57;1.72;0.55;0.0;0.0;0.0;0.0;1.87;0.85;0.0;11.330
V5GF2_47;0.0;0.72;0.0;1.66;0.0;0.46;0.49;1.39;1.24;0.93;0.28;0.0;1.06;0.0;1.93;0.0;0.0;10.160
V5GF2_48;0.0;0.38;0.0;1.21;0.33;0.37;0.48;1.28;1.44;1.05;0.27;0.0;1.37;0.0;1.91;0.0;0.0;10.090
V7GF1_36;0.0;0.0;0.0;0.0;1.83;1.84;0.17;1.98;3.26;1.66;0.0;0.0;0.0;0.0;2.07;0.0;0.38;13.190
V7GF1_37;0.0;0.0;0.0;0.0;1.9;1.94;0.18;1.82;3.32;1.59;0.0;0.0;0.0;0.0;1.95;0.0;0.28;12.980
V9GF2_1;0.0;0.0;0.0;0.0;0.66;0.21;0.22;0.49;1.7;2.27;0.0;0.2;0.31;0.36;0.12;0.0;0.19;6.730
V9GF2_4;0.0;0.0;0.0;0.0;1.25;0.62;0.56;1.88;2.25;2.2;0.0;0.0;0.02;0.0;1.84;0.0;0.0;10.620
V9GF2_5;0.0;0.0;0.0;0.0;1.27;0.63;0.48;2.17;1.9;1.75;0.0;0.0;0.0;0.04;1.83;0.0;1.8;11.870
