image;AU01;AU02;AU04;AU05;AU06;AU07;AU09;AU10;AU12;AU14;AU15;AU17;AU20;AU23;AU25;AU26;AU45;SUM
CFD-WF-010-006-HO;0.0;0.0;0.0;0.0;2.99;3.09;1.86;3.36;2.93;0.0;0.64;0.08;0.59;0.28;3.1;1.4;0.58;20.900
CFD-WF-011-003-HO;0.06;0.0;1.27;0.0;3.33;2.63;1.15;2.81;3.34;0.72;0.4;0.0;0.14;0.0;2.85;0.0;0.81;19.510
CFD-WF-012-007-HO;0.0;0.19;0.23;0.26;2.11;1.39;0.27;2.18;3.84;1.63;0.0;0.0;1.0;0.0;3.24;0.63;0.0;16.970
CFD-WF-013-006-HO;0.85;0.0;0.11;1.75;2.45;1.88;1.05;3.03;3.73;0.0;0.0;0.0;0.63;0.0;3.47;0.43;0.0;19.380
CFD-WF-014-004-HO;0.05;0.37;0.49;1.51;2.39;2.67;1.27;2.41;3.69;0.03;0.06;0.0;0.68;0.34;2.89;0.38;0.0;19.230
CFD-WF-015-022-HO;0.87;0.2;0.57;0.0;3.11;2.82;0.04;3.59;4.2;2.23;0.0;0.0;0.2;0.0;3.85;0.24;0.19;22.110
CFD-WF-016-003-HO;0.0;0.0;0.42;0.0;2.94;3.21;2.05;3.05;3.17;1.92;0.0;0.55;0.56;0.0;2.3;0.92;0.16;21.250
CFD-WF-017-015-HO;0.42;0.0;0.0;0.0;2.15;1.31;0.34;2.25;4.16;0.89;0.0;0.0;0.97;0.4;2.6;0.15;0.0;15.640
CFD-WF-018-018-HO;1.36;1.47;0.23;1.9;3.34;1.65;0.69;3.35;4.48;1.71;0.0;0.06;0.0;0.28;3.03;0.19;0.0;23.740
CFD-WF-019-035-HO;0.0;0.0;0.74;0.0;4.22;2.56;0.47;3.77;4.84;1.64;0.0;0.0;0.06;0.0;2.64;0.0;0.0;20.940
CFD-WF-020-023-HO;0.0;0.0;0.35;0.2;1.91;1.44;1.32;3.28;3.53;1.78;0.13;0.0;0.0;0.19;2.34;0.8;0.0;17.270
CFD-WF-021-016-HO;0.0;0.47;0.0;0.0;3.18;3.25;1.62;2.98;3.67;1.14;0.35;0.0;0.97;0.0;3.74;0.0;0.27;21.640
CFD-WF-022-019-HO;0.0;0.0;0.0;0.37;2.11;2.09;0.65;2.38;4.09;1.36;0.0;0.0;0.0;0.0;2.87;0.24;0.0;16.160
CFD-WF-023-020-HO;0.0;0.0;0.69;0.0;2.11;1.7;0.78;2.62;3.22;1.1;0.0;0.0;0.17;0.0;2.39;0.22;0.0;15.000
CFD-WF-031-005-HO;0.03;0.0;0.23;0.0;3.87;2.91;0.58;3.8;3.95;1.72;1.16;0.0;2.02;0.0;3.73;0.0;0.0;24.000
CFD-WF-033-005-HO;0.45;0.0;0.0;0.12;2.69;0.86;1.11;3.03;3.48;1.47;0.39;0.02;1.88;0.38;2.62;1.1;0.0;19.600
CFD-WF-034-033-HO;0.64;0.23;0.49;1.41;2.38;1.83;0.78;3.39;3.4;1.43;0.0;0.0;0.0;0.0;3.51;0.4;0.0;19.890
CFD-WF-035-027-HO;0.0;0.0;0.0;0.0;3.35;1.64;0.76;3.34;4.25;1.92;0.0;0.0;0.42;0.1;2.57;0.42;0.29;19.060
CFD-WF-036-026-HO;0.66;0.0;0.66;0.1;2.92;2.25;0.67;3.92;3.96;1.09;0.0;0.0;0.0;0.0;3.09;0.15;0.0;19.470
CFD-WF-038-023-HO;0.0;0.57;0.0;0.59;3.11;1.53;0.16;3.11;4.93;1.03;0.0;0.0;0.0;0.23;2.64;0.65;0.0;18.550
CFD-WF-039-005-HO;0.0;0.0;0.0;0.36;1.83;0.88;1.66;2.74;2.9;0.9;0.38;0.78;0.46;0.88;2.38;1.36;0.0;17.510
