, , , , , , ,
_tEzHfvUR0I - face1 - ['AU26']
_tEzHfvUR0I - face2 - ['AU06', 'AU07', 'AU10', 'AU12', 'AU14', 'AU15', 'AU17', 'AU25', 'AU26']
36xVgGxJPg - face1 - ['AU06', 'AU09', 'AU10', 'AU12', 'AU14', 'AU15', 'AU17', 'AU20', 'AU25']
36xVgGxJPg - face2 - ['AU01', 'AU02', 'AU05', 'AU09', 'AU10', 'AU15', 'AU17', 'AU20', 'AU26']
HYrmCkAzutk - face1 - ['AU01', 'AU02', 'AU05', 'AU17', 'AU20', 'AU26']
HYrmCkAzutk - face2 - ['AU01', 'AU02', 'AU05', 'AU07', 'AU25', 'AU26']
KAgqZlvoo4Y - face1 - ['AU04', 'AU07', 'AU10', 'AU14', 'AU17', 'AU25', 'AU26']
KAgqZlvoo4Y - face2 - ['AU04', 'AU07', 'AU10', 'AU14', 'AU17', 'AU25', 'AU26']
KB1iSR4gsiw - face1 - ['AU04', 'AU10', 'AU12', 'AU14', 'AU17', 'AU25', 'AU26']
KB1iSR4gsiw - face2 - ['AU06', 'AU07', 'AU10', 'AU12', 'AU14', 'AU17', 'AU25', 'AU26']
m7u_USLL8GU - face1 - ['AU06', 'AU07', 'AU10', 'AU12', 'AU14', 'AU17', 'AU23']
m7u_USLL8GU - face2 - ['AU01', 'AU02', 'AU07', 'AU10', 'AU12', 'AU14', 'AU17', 'AU23', 'AU25', 'AU26']
mwWBlRhgoEw - face1 - ['AU01', 'AU02', 'AU12', 'AU17', 'AU23', 'AU25', 'AU26']
mwWBlRhgoEw - face2 - ['AU01', 'AU02', 'AU17', 'AU25', 'AU26']
N6yZHIu2WfE - face1 - ['AU01', 'AU07', 'AU17', 'AU20', 'AU26']
N6yZHIu2WfE - face2 - ['AU01', 'AU07', 'AU14', 'AU15', 'AU17', 'AU20', 'AU26']
qNU3jj6NS4A - face1 - ['AU01', 'AU06', 'AU07', 'AU10', 'AU14', 'AU15', 'AU17', 'AU20']
qNU3jj6NS4A - face2 - ['AU10', 'AU14', 'AU15', 'AU17', 'AU23', 'AU26']
qNU3jj6NS4A - face3 - ['AU17', 'AU23', 'AU26']
qxXBIdhrrLM - face1 - ['AU17', 'AU23', 'AU26']
qxXBIdhrrLM - face2 - ['AU10']
venaCEUBOwg - face1 - ['AU01', 'AU02', 'AU10', 'AU25', 'AU26']
venaCEUBOwg - face2 - ['AU01', 'AU02', 'AU10', 'AU20', 'AU25', 'AU26']
xGkZyDoqaLU - face1 - ['AU01', 'AU02', 'AU12', 'AU14', 'AU17', 'AU20', 'AU25']
xGkZyDoqaLU - face2 - ['AU06', 'AU07', 'AU10', 'AU12', 'AU14', 'AU17', 'AU25']
